document_char_count,document_sentence_count,document_sentence_density,document_stopword_count,document_word_count,summary_char_count,summary_sentence_count,summary_sentence_density,summary_stopword_count,summary_word_count
20916,520,0.09869045359650788,3069,5269,5122,78,0.0593607305936073,652,1314
25778,921,0.1332850940665702,3925,6910,13157,234,0.06798373038930854,1842,3442
7568,257,0.12616593028964163,1213,2037,3296,50,0.05787037037037037,462,864
43824,2154,0.18220267298257486,6928,11822,12122,329,0.09835575485799701,1730,3345
16030,640,0.15724815724815724,2386,4070,4012,92,0.08871745419479267,530,1037
29179,905,0.12491373360938578,4081,7245,10330,180,0.07078254030672435,1276,2543
15388,501,0.12591103292284495,2392,3979,5223,96,0.07116382505559674,724,1349
24253,1010,0.1602920171401365,3536,6301,9241,207,0.08286629303442754,1287,2498
31172,902,0.11055276381909548,4729,8159,5936,88,0.05493133583021224,770,1602
34483,1128,0.12658511951520593,5230,8911,13002,239,0.06923522595596755,1777,3452
29637,862,0.11369031917699815,4409,7582,12991,200,0.06006006006006006,1766,3330
26960,1120,0.15653389238294899,4121,7155,5520,132,0.08741721854304636,721,1510
29034,920,0.12172532415983064,4450,7558,10268,203,0.07463235294117647,1436,2720
25534,889,0.13488089819450766,3976,6591,11301,236,0.08082191780821918,1604,2920
24044,888,0.14285714285714285,3660,6216,9450,154,0.06481481481481481,1246,2376
29947,869,0.11163926002055498,4697,7784,7804,122,0.05925206410879068,1070,2059
32025,862,0.10796593186372745,4473,7984,10874,170,0.062134502923976605,1418,2736
23764,1188,0.18953414167198468,3472,6268,2609,76,0.10497237569060773,340,724
10304,379,0.14476699770817417,1485,2618,1392,35,0.0958904109589041,169,365
22207,662,0.12031988367866231,3097,5502,4675,82,0.06867671691792294,591,1194
15598,535,0.12665719696969696,2463,4224,8724,206,0.08309802339653086,1283,2479
29995,944,0.1160703307512603,4613,8133,6339,103,0.05687465488680287,893,1811
30309,946,0.11955010741817262,4511,7913,13089,221,0.06501912327155046,1752,3399
21847,812,0.14253115674916622,3040,5697,3208,64,0.07757575757575758,417,825
15145,540,0.13232050967900025,2460,4081,3555,61,0.0639412997903564,530,954
14219,538,0.14516999460334593,2117,3706,3667,78,0.0771513353115727,530,1011
19835,615,0.11727688787185354,2977,5244,5565,88,0.06043956043956044,757,1456
31105,1094,0.1340357755452095,4567,8162,7969,141,0.06654082114204814,1020,2119
27117,1183,0.16526962838781784,4013,7158,6125,141,0.08240794856808883,828,1711
20753,610,0.1171050105586485,2866,5209,10515,187,0.07217290621381706,1300,2591
21940,829,0.13942145980491086,3587,5946,5595,101,0.06884798909338787,824,1467
25126,759,0.11939594148183105,3625,6357,5545,89,0.0622813156053184,717,1429
31443,1224,0.143796992481203,5172,8512,4169,102,0.08549874266554904,621,1193
26446,1172,0.1693152268130598,3881,6922,5848,129,0.08354922279792747,802,1544
20079,792,0.15039878465628562,3031,5266,4686,89,0.07379767827529021,651,1206
23064,905,0.1480693717277487,3689,6112,5809,122,0.07702020202020202,863,1584
30616,1121,0.13947990543735225,4671,8037,11918,240,0.0774693350548741,1678,3098
36234,1339,0.1409622065480577,5420,9499,11509,210,0.06930693069306931,1552,3030
31216,965,0.1170406306852638,4653,8245,6571,106,0.05892162312395775,850,1799
24090,718,0.11813096413293847,3589,6078,11390,198,0.06844106463878327,1539,2893
12887,647,0.18123249299719887,2003,3570,6175,199,0.10832879695155144,855,1837
11191,363,0.12525879917184266,1604,2898,3252,58,0.06643757159221077,386,873
33409,1380,0.15358931552587646,5238,8985,11690,280,0.08628659476117104,1588,3245
0,0,0.0,0,0,5649,111,0.07655172413793103,754,1450
7070,198,0.10454065469904963,1179,1894,2224,43,0.07190635451505016,317,598
8656,390,0.17457475380483437,1277,2234,2263,47,0.07755775577557755,306,606
29052,1091,0.14695581896551724,4255,7424,11046,212,0.0740999650471863,1495,2861
7923,396,0.1791044776119403,1341,2211,3258,98,0.1047008547008547,500,936
27518,870,0.12255247217918017,3956,7099,6734,104,0.060324825986078884,856,1724
38380,1409,0.14128145994184296,5867,9973,11182,259,0.08803535010197144,1567,2942
13848,445,0.11920707206000536,2275,3733,8508,161,0.0696969696969697,1324,2310
42290,1536,0.1394715336420594,6396,11013,7003,154,0.08222103577148959,964,1873
23170,750,0.12137886389383395,3733,6179,12315,251,0.07770897832817338,1834,3230
33736,1285,0.1424138313199601,5228,9023,4497,107,0.0859437751004016,601,1245
21735,917,0.1592290328181976,3369,5759,3480,79,0.08203530633437175,465,963
36928,1324,0.13489556800815078,5791,9815,11669,227,0.06967464702271332,1610,3258
23167,712,0.12110903214832454,3131,5879,9708,187,0.07339089481946624,1230,2548
21085,597,0.10626557493770025,3341,5618,5119,78,0.056480811006517015,697,1381
29726,778,0.10224733867788145,4551,7609,11581,196,0.06464379947229551,1620,3032
14486,640,0.1610468042274786,2264,3974,5736,131,0.08026960784313726,846,1632
28363,825,0.11574074074074074,4011,7128,12448,216,0.06863679694947569,1524,3147
13053,353,0.10537313432835821,1901,3350,5625,102,0.07127882599580712,723,1431
37021,1648,0.16918180884919412,5556,9741,7115,144,0.07418856259659969,1024,1941
18994,546,0.11391612768620905,2734,4793,9505,156,0.0630048465266559,1259,2476
11443,436,0.14855195911413968,1644,2935,3443,59,0.06727480045610035,452,877
13467,431,0.12460248626770742,1969,3459,4937,83,0.06720647773279352,658,1235
28388,767,0.10296684118673648,4329,7449,9405,154,0.06298568507157465,1242,2445
31490,969,0.11779722830051058,4558,8226,12551,220,0.0664451827242525,1613,3311
35693,1226,0.1289983164983165,5517,9504,6702,134,0.07235421166306695,940,1852
28438,856,0.11890540352826781,4161,7199,10864,178,0.06477438136826782,1431,2748
34648,1469,0.15783818631137853,5260,9307,10165,226,0.07742377526550188,1383,2919
25307,817,0.12023546725533481,3971,6795,12745,200,0.06031363088057901,1729,3316
7368,263,0.13249370277078085,1174,1985,2289,38,0.061389337641357025,332,619
10760,388,0.13623595505617977,1629,2848,2397,53,0.08217054263565891,330,645
23883,652,0.1051443315594259,3542,6201,6072,84,0.054019292604501605,806,1555
3529,139,0.15376106194690264,516,904,1113,21,0.07023411371237458,165,299
21311,772,0.14128843338213762,3160,5464,8421,197,0.08999543170397442,1060,2189
12248,471,0.144213104715248,1791,3266,5235,122,0.08840579710144927,738,1380
34639,1304,0.1459592567718827,4902,8934,9580,168,0.0665083135391924,1309,2526
23890,922,0.14808866045615163,3684,6226,9155,182,0.0778110303548525,1263,2339
7032,365,0.19602577873254565,1042,1862,2221,53,0.09363957597173145,289,566
31375,1178,0.14199614271938282,4692,8296,11220,238,0.07941274607941275,1488,2997
33496,1283,0.14708242577095035,4849,8723,7099,128,0.06830309498399147,968,1874
29722,691,0.09098090849242924,4663,7595,7190,102,0.056043956043956046,1006,1820
18821,466,0.09854091774159442,2825,4729,10065,150,0.05850234009360374,1305,2564
12533,480,0.14869888475836432,1744,3228,2772,49,0.06950354609929078,314,705
31290,1201,0.1455404750363548,4706,8252,6093,113,0.07027363184079602,834,1608
22052,563,0.10223352097330671,3138,5507,6386,98,0.06023355869698832,830,1627
31338,1212,0.14341498047568335,4863,8451,12767,298,0.08321697849762637,1771,3581
28917,876,0.11926480599046971,4115,7345,9669,169,0.06867127184071516,1193,2461
26594,802,0.11816708413142774,3996,6787,11740,191,0.06341301460823373,1621,3012
13245,651,0.18913422428820453,1817,3442,5258,126,0.09064748201438849,694,1390
33224,1329,0.15513015057779853,5052,8567,4597,101,0.08381742738589211,630,1205
29211,1029,0.13550171187779828,4227,7594,6084,127,0.07810578105781057,758,1626
21446,608,0.11190870605558623,3129,5433,10978,195,0.06861365235749473,1397,2842
